location	surah	verse	root	form	aspect	agreement	subject_label	subject_lemma	rule_fired	T1_object_clitic	T2_eqtb_obj	verse_text
(2:54:14:2)	2	54	qtl	I	IMPV	2MP	NONDIVINE		S-2P	0	1	وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم
(2:54:21:2)	2	54	twb	I	PERF	3MS	NONDIVINE	taw~aAb	S-EXPL	0	0	وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم
(2:54:2:1)	2	54	qwl	I	PERF	3MS	NONDIVINE	muwsaY`	S-EXPL	0	0	وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم
(2:54:7:1)	2	54	Zlm	I	PERF	2MP	NONDIVINE		S-2P	0	1	وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم
(2:55:11:2)	2	55	Ax*	I	PERF	3FS	NONDIVINE	SaAEiqap	S-EXPL	1	1	وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
(2:55:14:1)	2	55	nZr	I	IMPF	2MP	NONDIVINE		S-2P	0	0	وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
(2:55:2:1)	2	55	qwl	I	PERF	2MP	NONDIVINE		S-2P	0	1	وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
(2:55:5:1)	2	55	Amn	IV	IMPF	1P	DIVINE		S-1P	0	0	وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
(2:55:8:1)	2	55	rAy	I	IMPF	1P	DIVINE		S-1P	0	1	وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
(2:56:2:1)	2	56	bEv	I	PERF	1P	DIVINE		S-1P	1	1	ثم بعثناكم من بعد موتكم لعلكم تشكرون
(2:56:7:1)	2	56	$kr	I	IMPF	2MP	NONDIVINE		S-2P	0	0	ثم بعثناكم من بعد موتكم لعلكم تشكرون
(2:57:12:1)	2	57	rzq	I	PERF	1P	DIVINE		S-1P	1	1	وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا أنفسهم يظلمون
