band,surah,verse,V,len,num_names
FIRST,90,1,20,15,0
Q1,90,6,20,17,0
MID,90,10,20,14,0
Q3,90,16,20,15,0
LAST,90,20,20,13,0
FIRST,91,1,15,12,0
Q1,91,4,15,15,0
MID,91,8,15,20,0
Q3,91,12,15,13,0
LAST,91,15,15,13,0
FIRST,92,1,21,13,0
Q1,92,6,21,11,0
MID,92,11,21,21,0
Q3,92,16,21,12,0
LAST,92,21,21,9,0
FIRST,93,1,11,6,0
Q1,93,3,11,15,0
MID,93,6,11,16,0
Q3,93,9,11,17,0
LAST,93,11,11,16,0
FIRST,94,1,8,13,0
Q1,94,2,8,13,0
MID,94,4,8,12,0
Q3,94,6,8,13,0
LAST,94,8,8,12,0
FIRST,95,1,8,14,0
Q1,95,2,8,9,0
MID,95,4,8,26,0
Q3,95,6,8,42,0
LAST,95,8,8,21,1
FIRST,96,1,19,18,0
Q1,96,5,19,18,0
MID,96,10,19,10,0
Q3,96,15,19,26,0
LAST,96,19,19,20,0
FIRST,97,1,5,21,0
Q1,97,2,5,19,0
MID,97,3,5,20,0
Q3,97,4,5,37,0
LAST,97,5,5,18,0
FIRST,98,1,8,56,0
Q1,98,2,8,23,1
MID,98,4,8,45,0
Q3,98,6,8,66,0
LAST,98,8,8,83,1
FIRST,99,1,8,20,0
Q1,99,2,8,18,0
MID,99,4,8,16,0
Q3,99,6,8,32,0
LAST,99,8,8,21,0
FIRST,100,1,11,13,0
Q1,100,3,11,13,0
MID,100,6,11,18,0
Q3,100,9,11,25,0
LAST,100,11,11,19,0
FIRST,101,1,11,7,0
Q1,101,3,11,17,0
MID,101,6,11,17,0
Q3,101,9,11,9,0
LAST,101,11,11,8,0
FIRST,102,1,8,13,0
Q1,102,2,8,14,0
MID,102,4,8,14,0
Q3,102,6,8,11,0
LAST,102,8,8,21,0
FIRST,104,1,9,14,0
Q1,104,3,9,15,0
MID,104,5,9,16,0
Q3,104,7,9,18,0
LAST,104,9,9,10,0
FIRST,105,1,5,25,0
Q1,105,2,5,19,0
MID,105,3,5,20,0
Q3,105,4,5,18,0
LAST,105,5,5,15,0
FIRST,107,1,7,19,0
Q1,107,2,7,17,0
MID,107,4,7,11,0
Q3,107,6,7,13,0
LAST,107,7,7,14,0
FIRST,109,1,6,16,0
Q1,109,2,6,14,0
MID,109,4,6,17,0
Q3,109,5,6,19,0
LAST,109,6,6,14,0
FIRST,111,1,5,15,0
Q1,111,2,5,19,0
MID,111,3,5,15,0
Q3,111,4,5,17,0
LAST,111,5,5,15,0
FIRST,113,1,5,14,0
Q1,113,2,5,9,0
MID,113,3,5,15,0
Q3,113,4,5,20,0
LAST,113,5,5,15,0
FIRST,114,1,6,14,0
Q1,114,2,6,8,0
MID,114,4,6,17,0
Q3,114,5,6,20,0
LAST,114,6,6,13,0
