s1,v1,s2,v2,sim,lev
55,38,55,57,1.0000,0
55,38,55,59,1.0000,0
55,38,55,61,1.0000,0
55,38,55,63,1.0000,0
55,38,55,65,1.0000,0
55,38,55,67,1.0000,0
55,38,55,69,1.0000,0
55,38,55,71,1.0000,0
55,38,55,73,1.0000,0
55,38,55,75,1.0000,0
55,38,55,77,1.0000,0
55,40,55,42,1.0000,0
55,40,55,45,1.0000,0
55,40,55,47,1.0000,0
55,40,55,49,1.0000,0
55,40,55,51,1.0000,0
55,40,55,53,1.0000,0
55,40,55,55,1.0000,0
55,40,55,57,1.0000,0
55,40,55,59,1.0000,0
55,40,55,61,1.0000,0
55,40,55,63,1.0000,0
55,40,55,65,1.0000,0
55,40,55,67,1.0000,0
55,40,55,69,1.0000,0
55,40,55,71,1.0000,0
55,40,55,73,1.0000,0
55,40,55,75,1.0000,0
55,40,55,77,1.0000,0
55,42,55,45,1.0000,0
55,42,55,47,1.0000,0
55,42,55,49,1.0000,0
55,42,55,51,1.0000,0
55,42,55,53,1.0000,0
55,42,55,55,1.0000,0
55,42,55,57,1.0000,0
55,42,55,59,1.0000,0
55,42,55,61,1.0000,0
55,42,55,63,1.0000,0
55,42,55,65,1.0000,0
55,42,55,67,1.0000,0
55,42,55,69,1.0000,0
55,42,55,71,1.0000,0
55,42,55,73,1.0000,0
55,42,55,75,1.0000,0
55,42,55,77,1.0000,0
55,45,55,47,1.0000,0
55,45,55,49,1.0000,0
55,45,55,51,1.0000,0
55,45,55,53,1.0000,0
55,45,55,55,1.0000,0
55,45,55,57,1.0000,0
55,45,55,59,1.0000,0
55,45,55,61,1.0000,0
55,45,55,63,1.0000,0
55,45,55,65,1.0000,0
55,45,55,67,1.0000,0
55,45,55,69,1.0000,0
55,45,55,71,1.0000,0
55,45,55,73,1.0000,0
55,45,55,75,1.0000,0
55,45,55,77,1.0000,0
55,47,55,49,1.0000,0
55,47,55,51,1.0000,0
55,47,55,53,1.0000,0
55,47,55,55,1.0000,0
55,47,55,57,1.0000,0
55,47,55,59,1.0000,0
55,47,55,61,1.0000,0
55,47,55,63,1.0000,0
55,47,55,65,1.0000,0
55,47,55,67,1.0000,0
55,47,55,69,1.0000,0
55,47,55,71,1.0000,0
55,47,55,73,1.0000,0
55,47,55,75,1.0000,0
55,47,55,77,1.0000,0
55,49,55,51,1.0000,0
55,49,55,53,1.0000,0
55,49,55,55,1.0000,0
55,49,55,57,1.0000,0
55,49,55,59,1.0000,0
55,49,55,61,1.0000,0
55,49,55,63,1.0000,0
55,49,55,65,1.0000,0
55,49,55,67,1.0000,0
55,49,55,69,1.0000,0
55,49,55,71,1.0000,0
55,49,55,73,1.0000,0
55,49,55,75,1.0000,0
55,49,55,77,1.0000,0
55,50,55,66,0.7368,5
55,51,55,53,1.0000,0
55,51,55,55,1.0000,0
55,51,55,57,1.0000,0
55,51,55,59,1.0000,0
55,51,55,61,1.0000,0
55,51,55,63,1.0000,0
55,51,55,65,1.0000,0
55,51,55,67,1.0000,0
55,51,55,69,1.0000,0
55,51,55,71,1.0000,0
55,51,55,73,1.0000,0
55,51,55,75,1.0000,0
55,51,55,77,1.0000,0
55,53,55,55,1.0000,0
55,53,55,57,1.0000,0
55,53,55,59,1.0000,0
55,53,55,61,1.0000,0
55,53,55,63,1.0000,0
55,53,55,65,1.0000,0
55,53,55,67,1.0000,0
55,53,55,69,1.0000,0
55,53,55,71,1.0000,0
55,53,55,73,1.0000,0
55,53,55,75,1.0000,0
55,53,55,77,1.0000,0
55,55,55,57,1.0000,0
55,55,55,59,1.0000,0
55,55,55,61,1.0000,0
55,55,55,63,1.0000,0
55,55,55,65,1.0000,0
55,55,55,67,1.0000,0
55,55,55,69,1.0000,0
55,55,55,71,1.0000,0
55,55,55,73,1.0000,0
55,55,55,75,1.0000,0
55,55,55,77,1.0000,0
55,57,55,59,1.0000,0
55,57,55,61,1.0000,0
55,57,55,63,1.0000,0
55,57,55,65,1.0000,0
55,57,55,67,1.0000,0
55,57,55,69,1.0000,0
55,57,55,71,1.0000,0
55,57,55,73,1.0000,0
55,57,55,75,1.0000,0
55,57,55,77,1.0000,0
55,59,55,61,1.0000,0
55,59,55,63,1.0000,0
55,59,55,65,1.0000,0
55,59,55,67,1.0000,0
55,59,55,69,1.0000,0
55,59,55,71,1.0000,0
55,59,55,73,1.0000,0
55,59,55,75,1.0000,0
55,59,55,77,1.0000,0
55,61,55,63,1.0000,0
55,61,55,65,1.0000,0
55,61,55,67,1.0000,0
55,61,55,69,1.0000,0
55,61,55,71,1.0000,0
55,61,55,73,1.0000,0
55,61,55,75,1.0000,0
55,61,55,77,1.0000,0
55,63,55,65,1.0000,0
55,63,55,67,1.0000,0
55,63,55,69,1.0000,0
55,63,55,71,1.0000,0
55,63,55,73,1.0000,0
55,63,55,75,1.0000,0
55,63,55,77,1.0000,0
55,65,55,67,1.0000,0
55,65,55,69,1.0000,0
55,65,55,71,1.0000,0
55,65,55,73,1.0000,0
55,65,55,75,1.0000,0
55,65,55,77,1.0000,0
55,67,55,69,1.0000,0
55,67,55,71,1.0000,0
55,67,55,73,1.0000,0
55,67,55,75,1.0000,0
55,67,55,77,1.0000,0
55,69,55,71,1.0000,0
55,69,55,73,1.0000,0
55,69,55,75,1.0000,0
55,69,55,77,1.0000,0
55,71,55,73,1.0000,0
55,71,55,75,1.0000,0
55,71,55,77,1.0000,0
55,73,55,75,1.0000,0
55,73,55,77,1.0000,0
55,75,55,77,1.0000,0
12,1,26,2,0.7857,6
26,2,28,2,1.0000,0
26,2,31,2,0.8636,3
26,5,36,46,0.7170,15
56,8,56,9,0.7742,7
56,8,56,27,0.7742,7
56,8,56,41,0.7097,9
26,8,26,67,1.0000,0
26,8,26,103,1.0000,0
26,8,26,121,1.0000,0
26,8,26,158,0.7037,16
26,8,26,174,1.0000,0
26,8,26,190,1.0000,0
26,9,26,68,1.0000,0
26,9,26,104,1.0000,0
26,9,26,122,1.0000,0
26,9,26,140,1.0000,0
26,9,26,159,1.0000,0
26,9,26,175,1.0000,0
26,9,26,191,1.0000,0
56,9,56,41,0.7419,8
37,43,56,12,1.0000,0
56,13,56,39,1.0000,0
56,13,56,40,0.7333,4
56,14,56,40,0.8125,3
6,117,68,7,0.9216,4
15,93,56,24,0.7143,6
56,25,78,35,0.8333,5
26,24,26,28,0.7600,12
26,26,37,126,0.8929,3
56,27,56,41,0.7931,6
7,107,26,32,1.0000,0
7,108,26,33,1.0000,0
7,110,26,35,0.8810,5
7,111,26,36,0.9000,4
7,112,26,37,0.8947,2
56,38,74,39,0.8125,3
56,39,56,40,0.7333,4
7,113,26,41,0.7419,16
7,114,26,42,0.8667,4
37,16,56,47,0.7273,15
7,121,26,47,1.0000,0
7,122,26,48,1.0000,0
37,17,56,48,1.0000,0
7,125,26,50,0.7429,9
7,120,26,46,0.9474,1
56,58,56,63,0.8235,3
56,59,56,64,0.7931,6
56,65,56,70,0.7059,10
56,67,68,27,1.0000,0
26,67,26,103,1.0000,0
26,67,26,121,1.0000,0
26,67,26,158,0.7037,16
26,67,26,174,1.0000,0
26,67,26,190,1.0000,0
26,68,26,104,1.0000,0
26,68,26,122,1.0000,0
26,68,26,140,1.0000,0
26,68,26,159,1.0000,0
26,68,26,175,1.0000,0
26,68,26,191,1.0000,0
56,68,56,71,0.8000,5
26,66,26,172,0.8235,3
26,66,37,82,1.0000,0
26,66,37,136,0.8235,3
26,70,37,85,0.9333,2
56,74,56,96,1.0000,0
56,74,69,52,1.0000,0
56,74,87,1,0.7000,6
26,75,26,92,0.7037,8
56,80,69,43,1.0000,0
7,14,15,36,0.8621,4
7,14,38,79,0.8621,4
7,15,15,37,0.9500,1
7,15,38,80,0.9500,1
26,91,79,36,0.7000,6
56,96,69,52,1.0000,0
56,96,87,1,0.7000,6
57,1,59,1,0.8909,6
57,1,61,1,0.8909,6
57,1,62,1,0.7302,17
26,103,26,121,1.0000,0
26,103,26,158,0.7037,16
26,103,26,174,1.0000,0
26,103,26,190,1.0000,0
26,104,26,122,1.0000,0
26,104,26,140,1.0000,0
26,104,26,159,1.0000,0
26,104,26,175,1.0000,0
26,104,26,191,1.0000,0
26,105,26,141,0.7619,5
26,105,26,160,0.9048,2
26,106,26,124,0.9333,2
26,106,26,142,0.9032,3
26,106,26,161,0.9333,2
26,106,26,177,0.7000,9
26,107,26,125,1.0000,0
26,107,26,143,1.0000,0
26,107,26,162,1.0000,0
26,107,26,178,1.0000,0
26,108,26,110,1.0000,0
26,108,26,126,1.0000,0
26,108,26,131,1.0000,0
26,108,26,144,1.0000,0
26,108,26,150,1.0000,0
26,108,26,163,1.0000,0
26,108,26,179,1.0000,0
26,109,26,127,1.0000,0
26,109,26,145,1.0000,0
26,109,26,164,1.0000,0
26,109,26,180,1.0000,0
12,104,26,109,0.7500,13
26,110,26,126,1.0000,0
26,110,26,131,1.0000,0
26,110,26,144,1.0000,0
26,110,26,150,1.0000,0
26,110,26,163,1.0000,0
26,110,26,179,1.0000,0
7,42,11,23,0.7791,19
7,45,11,19,0.9500,3
26,116,26,167,0.8864,5
26,115,35,23,0.7000,6
26,121,26,158,0.7037,16
26,121,26,174,1.0000,0
26,121,26,190,1.0000,0
26,122,26,140,1.0000,0
26,122,26,159,1.0000,0
26,122,26,175,1.0000,0
26,122,26,191,1.0000,0
26,123,26,141,0.8333,3
26,124,26,142,0.8710,4
26,124,26,161,0.9333,2
26,124,26,177,0.7000,9
26,124,37,124,0.7000,9
26,125,26,143,1.0000,0
26,125,26,162,1.0000,0
26,125,26,178,1.0000,0
26,126,26,131,1.0000,0
26,126,26,144,1.0000,0
26,126,26,150,1.0000,0
26,126,26,163,1.0000,0
26,126,26,179,1.0000,0
26,127,26,145,1.0000,0
26,127,26,164,1.0000,0
26,127,26,180,1.0000,0
12,104,26,127,0.7500,13
37,76,37,115,0.7879,7
26,131,26,144,1.0000,0
26,131,26,150,1.0000,0
26,131,26,163,1.0000,0
26,131,26,179,1.0000,0
7,61,7,67,0.9388,3
26,134,26,147,0.7692,3
7,65,11,50,0.8214,15
26,139,26,158,0.7895,12
26,140,26,159,1.0000,0
26,140,26,175,1.0000,0
26,140,26,191,1.0000,0
26,141,26,160,0.7619,5
26,142,26,161,0.8710,4
26,143,26,162,1.0000,0
26,143,26,178,1.0000,0
26,144,26,150,1.0000,0
26,144,26,163,1.0000,0
26,144,26,179,1.0000,0
26,145,26,164,1.0000,0
