global_idx,surah,verse,n_letters,rhyme_letter,topics,pct_emphatic,pct_resonant,pct_plosive,pct_fricative,pct_guttural,pct_labial
946,6,157,144,ن,mercy|punishment|dialogue|eschatology|polytheism-rejection,0.05556,0.41667,0.25,0.16667,0.14583,0.23611
947,6,158,138,ن,dialogue,0.10145,0.44203,0.31159,0.11594,0.18116,0.18841
948,6,159,77,ن,prophets|polytheism-rejection,0.03896,0.49351,0.16883,0.16883,0.16883,0.24675
949,6,160,64,ن,eschatology,0.03125,0.40625,0.15625,0.25,0.20312,0.20312
950,6,161,66,ن,prophets|dialogue|polytheism-rejection,0.13636,0.51515,0.21212,0.12121,0.10606,0.18182
951,6,162,39,ن,prayer|dialogue,0.07692,0.58974,0.15385,0.10256,0.10256,0.20513
952,6,163,32,ن,monotheism,0.0625,0.5625,0.21875,0.125,0.125,0.21875
953,6,164,104,ن,dialogue,0.09615,0.42308,0.26923,0.19231,0.17308,0.24038
954,6,165,86,م,mercy|punishment|creation,0.13953,0.40698,0.25581,0.17442,0.18605,0.26744
955,7,1,4,ص,,0.25,0.5,0.0,0.25,0.0,0.25
956,7,2,50,ن,prophets,0.1,0.48,0.28,0.18,0.12,0.16
957,7,3,57,ن,prayer,0.05263,0.49123,0.2807,0.05263,0.12281,0.26316
958,7,4,43,ن,punishment,0.06977,0.34884,0.30233,0.16279,0.23256,0.2093
959,7,5,46,ن,punishment|dialogue,0.04348,0.34783,0.26087,0.13043,0.19565,0.17391
960,7,6,36,ن,prophets,0.05556,0.63889,0.11111,0.19444,0.13889,0.11111
961,7,7,27,ن,,0.07407,0.48148,0.18519,0.14815,0.18519,0.25926
962,7,8,45,ن,,0.04444,0.51111,0.15556,0.24444,0.15556,0.31111
963,7,9,56,ن,,0.03571,0.46429,0.17857,0.21429,0.14286,0.28571
964,7,10,48,ن,creation,0.10417,0.47917,0.20833,0.125,0.08333,0.20833
965,7,11,73,ن,creation|prayer|dialogue,0.06849,0.45205,0.27397,0.13699,0.08219,0.19178
966,7,12,57,ن,hell|creation|prayer|dialogue,0.14035,0.45614,0.29825,0.12281,0.17544,0.12281
967,7,13,50,ن,paradise|dialogue,0.12,0.38,0.26,0.2,0.14,0.2
968,7,14,21,ن,dialogue|eschatology,0.14286,0.57143,0.19048,0.09524,0.14286,0.19048
969,7,15,16,ن,dialogue,0.1875,0.625,0.1875,0.0625,0.0625,0.125
970,7,16,36,م,dialogue,0.16667,0.41667,0.30556,0.13889,0.13889,0.19444
971,7,17,66,ن,,0.0303,0.5303,0.19697,0.18182,0.21212,0.25758
972,7,18,54,ن,paradise|hell|dialogue,0.05556,0.51852,0.24074,0.11111,0.2037,0.27778
973,7,19,70,ن,paradise|nature-imagery,0.05714,0.4,0.24286,0.2,0.11429,0.18571
974,7,20,105,ن,legal|dialogue|nature-imagery,0.04762,0.47619,0.18095,0.15238,0.14286,0.21905
975,7,21,26,ن,,0.07692,0.53846,0.11538,0.15385,0.11538,0.19231
976,7,22,130,ن,paradise|creation|legal|nature-imagery,0.1,0.40769,0.22308,0.16923,0.15385,0.22308
977,7,23,54,ن,mercy|dialogue,0.11111,0.55556,0.12963,0.14815,0.09259,0.18519
978,7,24,48,ن,creation|dialogue,0.16667,0.375,0.27083,0.14583,0.16667,0.25
979,7,25,34,ن,dialogue,0.05882,0.5,0.17647,0.20588,0.14706,0.29412
980,7,26,83,ن,prayer,0.07229,0.48193,0.22892,0.13253,0.10843,0.16867
981,7,27,138,ن,paradise|creation,0.05072,0.50725,0.19565,0.13768,0.16667,0.18116
982,7,28,94,ن,dialogue,0.05319,0.40426,0.19149,0.14894,0.21277,0.19149
983,7,29,69,ن,prophets|prayer|dialogue,0.10145,0.44928,0.33333,0.10145,0.14493,0.26087
984,7,30,78,ن,,0.08974,0.46154,0.17949,0.20513,0.19231,0.19231
985,7,31,64,ن,,0.04688,0.45312,0.21875,0.17188,0.09375,0.25
986,7,32,111,ن,paradise|legal|dialogue|eschatology,0.0991,0.4955,0.17117,0.17117,0.14414,0.15315
987,7,33,110,ن,legal|dialogue|polytheism-rejection,0.1,0.48182,0.17273,0.15455,0.14545,0.24545
988,7,34,47,ن,eschatology,0.04255,0.38298,0.29787,0.19149,0.23404,0.17021
989,7,35,74,ن,prophets,0.06757,0.51351,0.2027,0.16216,0.16216,0.24324
