k,amplitude,null_99th_percentile
728,1502.4096016262522,5010.776635984451
729,626.5346829138316,5117.635884192059
730,1057.0246166682145,5075.838831922329
731,944.3732819669382,5053.766303237002
732,5189.011204469853,5174.749843135788
733,435.61130653290917,5018.3198916916535
734,3.1033736121220006,5094.058598760544
735,559.7482701127985,5047.544164415057
736,455.00173145619686,5088.489827985402
737,871.1211565680222,5277.26954794214
738,146.7164188998165,4987.63624249681
739,875.4521091371652,4913.750275729299
740,953.8694414565837,5012.396249368997
741,118.1102711476043,4975.469905014069
742,1400.9346071452005,4923.7785525646805
743,2406.6684891670357,4975.660314234927
744,9.387234563580476,5061.8992891676335
745,1893.439348541236,5097.448082400133
746,470.1712162498645,4992.637834091166
747,330.7574024580078,5129.846513674823
748,121.37146809315672,5007.187594448863
749,628.3589805305363,5268.110051359774
750,725.0904206735943,4819.379796657477
751,249.2813083586629,4957.617060705901
752,904.2528396706157,5057.46654050366
753,166.05631006731969,5060.144613244015
754,1090.9360848240156,5256.623502891649
755,1741.6486228197616,5202.488450010895
756,1615.1879813642972,5085.931934511482
757,1887.8550279435324,4901.984870123728
758,3535.273907064479,5058.2512245632615
759,774.124344143818,5012.866213340461
760,242.24829714421594,5013.806668982374
761,498.7790315623142,5141.0841303809575
762,2365.4270669690486,5169.3887544044355
763,676.3048401210358,5002.633967152698
764,141.7462872786415,5005.151471268296
765,138.67117659158183,4945.661574975383
766,372.5962156218742,5022.674611287697
767,2212.136624311967,5036.325401709653
768,202.5038804343626,5180.776646335321
769,237.63450528959078,5001.605686837666
770,524.6560432458441,5046.812549095496
771,178.22270353626092,5037.715308233597
772,21.918918261010266,5174.0986100439395
773,145.41692951637827,4968.990261635545
774,391.2974778047798,5155.227582404941
775,125.45527246757977,5109.962236409595
776,430.9166780336891,5044.7727895673615
777,1746.5748943463243,4956.973184607927
778,1632.7184669825035,4983.519446559952
779,75.51197005105385,4849.9446410354185
780,1654.2317393093833,5078.293812731856
781,1553.068030565839,5004.247709430869
782,1037.4380480812524,4986.036776546156
783,113.49382518031152,5117.019962325422
784,701.5014629462484,5084.549433193635
785,1555.61242601669,4977.432701918034
786,997.1513313723273,5011.716888473325
787,224.54203627933006,4784.304087190081
788,2962.6671744820555,5067.007718354195
789,48.24780866067693,4941.5003208816925
790,379.13482746141966,5127.472809781134
791,2968.5156106723675,5129.113671237687
792,224.18519008751085,5189.667893555737
793,1969.377863882616,5030.497598711492
794,276.03697577631044,5046.686889359728
795,366.3398993006662,5175.567652066796
796,20.19082933127091,5090.664064579147
797,194.39900222364196,4934.793731731712
798,358.4085866260655,4901.630033459657
799,2186.297020283134,4851.908002020357
800,2110.213526417181,5008.544134421193
801,533.4403133997675,5079.361671910109
802,319.71984365214513,4885.416774635203
803,129.98167283306628,5043.327525298491
804,543.687175547464,4924.657597761311
805,408.76180523825695,5055.261160569223
806,269.16330718222287,4940.203586436859
807,410.50748180611373,5018.5147675553535
808,339.36786252531675,4966.291460686397
809,2850.2775669392286,5015.494064071914
810,815.8072779610917,5049.119819494844
811,2201.713291461975,4891.691667263623
