surah,verse,word,form_bw,form_ar,pos,root,lemma,marker,stem_dual,pron_suffix_dual,is_verb,is_impf,mood
2,282,53,$ahiydayoni,شَهِيدَيْنِ,N,$hd,$ahiyd,MD,1,0,0,0,
2,282,58,yakuwnaA,يَكُونَا,V,kwn,kaAna,3MD,1,1,1,1,JUS
2,282,59,rajulayoni,رَجُلَيْنِ,N,rjl,rajul,MD,1,0,0,0,
2,282,61,wa{mora>ataAni,وَٱمْرَأَتَانِ,N,mrA,{mora>at,FD,1,0,0,0,
2,282,68,<iHodaY`humaA,إِحْدَىٰهُمَا,N,AHd,<iHodaY,,0,1,0,0,
2,282,70,<iHodaY`humaA,إِحْدَىٰهُمَا,N,AHd,<iHodaY,,0,1,0,0,
3,3,8,yadayohi,يَدَيْهِ,N,ydy,yad,FD,1,0,0,0,
3,13,6,fi}atayoni,فِئَتَيْنِ,N,fAy,fi}ap,FD,1,0,0,0,
3,13,7,{lotaqataA,ٱلْتَقَتَا,V,lqy,{lotaqaY,3FD,1,1,1,0,
3,13,16,m~ivolayohimo,مِّثْلَيْهِمْ,N,mvl,mivol,MD,1,0,0,0,
3,50,4,yadaY~a,يَدَىَّ,N,ydy,yad,FD,1,0,0,0,
3,122,3,T~aA^}ifataAni,طَّآئِفَتَانِ,N,Twf,TaA^}ifap,FD,1,0,0,0,
3,122,6,tafo$alaA,تَفْشَلَا,V,f$l,fa$ilo,2D,1,1,1,1,SUBJ
3,122,8,waliy~uhumaA,وَلِيُّهُمَا,N,wly,waliY~,,0,1,0,0,
3,144,20,Eaqibayohi,عَقِبَيْهِ,N,Eqb,Eaqib,MD,1,0,0,0,
3,155,7,{lojamoEaAni,ٱلْجَمْعَانِ,N,jmE,jamoE,MD,1,0,0,0,
3,165,6,m~ivolayohaA,مِّثْلَيْهَا,N,mvl,mivol,MD,1,0,0,0,
3,166,5,{lojamoEaAni,ٱلْجَمْعَانِ,N,jmE,jamoE,MD,1,0,0,0,
4,1,14,minohumaA,مِنْهُمَا,P,,min,,0,1,0,0,
4,7,5,{lowa`lidaAni,ٱلْوَٰلِدَانِ,N,wld,waAlid,MD,1,0,0,0,
4,7,11,{lowa`lidaAni,ٱلْوَٰلِدَانِ,N,wld,waAlid,MD,1,0,0,0,
4,11,8,{lo>unvayayoni,ٱلْأُنثَيَيْنِ,N,Anv,>unvayayon,FD,1,0,0,0,
4,11,13,{vonatayoni,ٱثْنَتَيْنِ,N,vny,{vonatayon,FD,1,0,0,0,
4,11,15,vuluvaA,ثُلُثَا,N,vlv,v~uluv,MD,1,0,0,0,
4,11,23,wali>abawayohi,وَلِأَبَوَيْهِ,N,Abw,>abawaAn,MD,1,0,0,0,
4,11,26,m~inohumaA,مِّنْهُمَا,P,,min,,0,1,0,0,
4,11,40,>abawaAhu,أَبَوَاهُ,N,Abw,>abawaAn,MD,1,0,0,0,
4,12,63,m~inohumaA,مِّنْهُمَا,P,,min,,0,1,0,0,
4,16,1,wa{l~a*aAni,وَٱلَّذَانِ,REL,,{l~a*iY,MD,1,0,0,0,
4,16,2,ya>otiya`nihaA,يَأْتِيَٰنِهَا,V,Aty,>ataY,3MD,1,1,1,1,
4,16,4,fa_#aA*uwhumaA,فَـ#َاذُوهُمَا,REM,,,,0,1,0,0,
4,16,6,taAbaA,تَابَا,V,twb,taAba,3MD,1,1,1,0,
4,16,7,wa>aSolaHaA,وَأَصْلَحَا,V,SlH,>aSolaHa,3MD,1,1,1,0,
4,16,9,EanohumaA^,عَنْهُمَآ,P,,Ean,,0,1,0,0,
4,23,45,{lo>uxotayoni,ٱلْأُخْتَيْنِ,N,Axw,>uxot,FD,1,0,0,0,
4,33,6,{lowa`lidaAni,ٱلْوَٰلِدَانِ,N,wld,waAlid,MD,1,0,0,0,
4,35,4,bayonihimaA,بَيْنِهِمَا,N,byn,bayon,,0,1,0,0,
4,35,13,yuriydaA^,يُرِيدَآ,V,rwd,>araAda,3MD,1,1,1,1,JUS
4,35,17,bayonahumaA^,بَيْنَهُمَآ,LOC,byn,bayon,,0,1,0,0,
4,36,7,wabi{lowa`lidayoni,وَبِٱلْوَٰلِدَيْنِ,N,wld,waAlid,MD,1,0,0,0,
4,88,5,fi}atayoni,فِئَتَيْنِ,N,fAy,fi}ap,FD,1,0,0,0,
4,92,52,$ahorayoni,شَهْرَيْنِ,N,$hr,$ahor,MD,1,0,0,0,
4,92,53,mutataAbiEayoni,مُتَتَابِعَيْنِ,ADJ,tbE,mutataAbiEayon,MD,1,0,0,0,
4,128,11,EalayohimaA^,عَلَيْهِمَآ,P,,EalaY`,,0,1,0,0,
4,128,13,yuSoliHaA,يُصْلِحَا,V,SlH,>aSolaHa,3MD,1,1,1,1,SUBJ
4,128,14,bayonahumaA,بَيْنَهُمَا,LOC,byn,bayon,,0,1,0,0,
4,130,2,yatafar~aqaA,يَتَفَرَّقَا,V,frq,tafar~aqa,3MD,1,1,1,1,JUS
4,135,13,{lowa`lidayoni,ٱلْوَٰلِدَيْنِ,N,wld,waAlid,MD,1,0,0,0,
4,135,22,bihimaA,بِهِمَا,PRON,,,3D,1,0,0,0,
4,171,4,tagoluwA@,تَغْلُوا@,V,glw,tagoluw,2D,1,1,1,1,JUS
4,176,27,kaAnataA,كَانَتَا,V,kwn,kaAna,3FD,1,1,1,0,
4,176,28,{vonatayoni,ٱثْنَتَيْنِ,N,vny,{vonatayon,FD,1,0,0,0,
4,176,29,falahumaA,فَلَهُمَا,PRON,,,3D,1,0,0,0,
4,176,30,{lv~uluvaAni,ٱلثُّلُثَانِ,N,vlv,v~uluv,MD,1,0,0,0,
4,176,41,{lo>unvayayoni,ٱلْأُنثَيَيْنِ,N,Anv,>unvayayon,FD,1,0,0,0,
5,6,17,{lokaEobayoni,ٱلْكَعْبَيْنِ,N,kEb,kaEobayon,MD,1,0,0,0,
5,12,9,{vonaYo,ٱثْنَىْ,N,vny,{vonayon,MD,1,0,0,0,
5,17,34,bayonahumaA,بَيْنَهُمَا,LOC,byn,bayon,,0,1,0,0,
5,18,28,bayonahumaA,بَيْنَهُمَا,LOC,byn,bayon,,0,1,0,0,
5,23,2,rajulaAni,رَجُلَانِ,N,rjl,rajul,MD,1,0,0,0,
5,23,8,EalayohimaA,عَلَيْهِمَا,P,,EalaY`,,0,1,0,0,
5,24,13,faqa`tilaA^,فَقَٰتِلَآ,V,qtl,qa`tala,2MD,1,1,1,0,
5,27,4,{bonaYo,ٱبْنَىْ,N,bny,{bon,MD,1,0,0,0,
5,27,8,qar~abaA,قَرَّبَا,V,qrb,qar~aba,3MD,1,1,1,0,
5,27,12,>aHadihimaA,أَحَدِهِمَا,N,AHd,>aHad,,0,1,0,0,
5,38,4,>ayodiyahumaA,أَيْدِيَهُمَا,N,ydy,yad,,0,1,0,0,
5,38,7,kasabaA,كَسَبَا,V,ksb,kasaba,3MD,1,1,1,0,
5,46,10,yadayohi,يَدَيْهِ,N,ydy,yad,FD,1,0,0,0,
5,46,21,yadayohi,يَدَيْهِ,N,ydy,yad,FD,1,0,0,0,
5,48,8,yadayohi,يَدَيْهِ,N,ydy,yad,FD,1,0,0,0,
