sura,aya,surah_name,n_words,eligible,ineligible_reason,n_hadith,n_hadith_ambiguous,n_books,n_hadith_all17,n_hadith_surah_level,max_span_words,driver_span,b_bukhari,b_muslim,b_abudawud,b_tirmidhi,b_nasai,b_ibnmajah,b_malik,b_ahmed,b_darimi
2,192,البقره,6,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,193,البقره,15,1,,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,194,البقره,22,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,195,البقره,14,1,,4,0,3,5,4,5,وانفقوا في سبيل الله ولا,1,0,2,1,0,0,0,0,0
2,196,البقره,73,1,,21,14,7,22,22,5,ثلاثه ايام في الحج وسبعه,5,5,2,2,1,1,5,0,0
2,197,البقره,30,1,,3,0,3,4,3,5,وتزودوا فان خير الزاد التقوي,1,0,1,0,0,0,1,0,0
2,198,البقره,26,1,,6,0,2,7,6,5,ليس عليكم جناح ان تبتغوا,3,0,3,0,0,0,0,0,0
2,199,البقره,12,1,,9,1,6,10,9,5,ثم افيضوا من حيث افاض,3,2,1,1,1,1,0,0,0
2,200,البقره,24,1,,0,2,0,0,2,0,,0,0,0,0,0,0,0,0,0
2,201,البقره,14,1,,10,1,5,21,10,5,اتنا في الدنيا حسنه وفي,2,3,2,2,0,1,0,0,0
2,202,البقره,8,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,203,البقره,25,1,,6,0,5,7,6,5,تعجل في يومين فلا اثم,0,0,1,2,1,1,0,0,1
2,204,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,205,البقره,14,1,,1,0,1,1,1,5,واذا تولي سعي في الارض,0,0,0,0,0,0,1,0,0
2,206,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,207,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,208,البقره,16,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,209,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,210,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,211,البقره,20,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,212,البقره,20,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,213,البقره,49,1,,1,2,1,1,1,5,لما اختلفوا فيه من الحق,0,1,0,0,0,0,0,0,0
2,214,البقره,30,1,,1,0,1,1,1,5,حتي يقول الرسول والذين امنوا,1,0,0,0,0,0,0,0,0
2,215,البقره,22,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,216,البقره,25,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,217,البقره,57,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,218,البقره,16,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,219,البقره,26,1,,3,0,2,3,3,5,يسالونك عن الخمر والميسر قل,0,0,2,0,0,0,0,1,0
2,220,البقره,26,1,,3,0,3,4,3,5,ويسالونك عن اليتامي قل اصلاح,1,0,1,0,1,0,0,0,0
2,221,البقره,39,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,222,البقره,27,1,,15,0,6,17,15,5,عن المحيض قل هو اذي,0,1,2,1,2,1,0,0,8
2,223,البقره,16,1,,16,0,6,19,16,5,نساوكم حرث لكم فاتوا حرثكم,1,2,2,3,0,1,0,0,7
2,224,البقره,14,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,225,البقره,14,1,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,226,البقره,13,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,227,البقره,7,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,228,البقره,40,1,,5,0,3,5,5,5,والمطلقات يتربصن بانفسهن ثلاثه قروء,0,0,2,0,2,0,0,0,1
2,229,البقره,46,1,,3,0,3,3,3,5,الطلاق مرتان فامساك بمعروف او,0,0,0,1,1,0,1,0,0
2,230,البقره,30,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,231,البقره,45,1,,1,3,1,1,4,5,ولا تمسكوهن ضرارا لتعتدوا ومن,0,0,0,0,0,0,1,0,0
2,232,البقره,33,1,,3,3,2,3,4,5,طلقتم النساء فبلغن اجلهن فلا,2,0,1,0,0,0,0,0,0
2,233,البقره,64,1,,1,0,1,1,1,5,والوالدات يرضعن اولادهن حولين كاملين,0,0,0,0,0,0,1,0,0
2,234,البقره,25,1,,4,8,3,4,9,5,فلا جناح عليكم فيما فعلن,2,0,1,0,1,0,0,0,0
2,235,البقره,47,1,,1,0,1,1,1,5,ولا جناح عليكم فيما عرضتم,0,0,0,0,0,0,1,0,0
2,236,البقره,25,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,237,البقره,35,1,,3,2,3,3,3,5,وان طلقتموهن من قبل ان,0,0,1,0,1,0,1,0,0
2,238,البقره,8,1,,10,0,6,12,10,5,حافظوا علي الصلوات والصلاه الوسطي,1,2,2,1,2,0,2,0,0
2,239,البقره,15,1,,1,0,1,1,1,5,فان خفتم فرجالا او ركبانا,0,0,0,0,0,0,0,0,1
2,240,البقره,27,1,,6,8,3,6,9,5,يتوفون منكم ويذرون ازواجا وصيه,2,0,2,0,2,0,0,0,0
2,241,البقره,6,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,242,البقره,7,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,243,البقره,28,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,244,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,245,البقره,16,1,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,246,البقره,54,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,247,البقره,43,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,248,البقره,30,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,249,البقره,60,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,250,البقره,15,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,251,البقره,27,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,252,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,253,البقره,52,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,254,البقره,22,1,,1,2,1,1,2,5,مما رزقناكم من قبل ان,0,0,0,1,0,0,0,0,0
2,255,البقره,50,1,,1,14,1,1,1,5,الا هو الحي القيوم لا,0,0,1,0,0,0,0,0,0
2,256,البقره,24,1,,1,0,1,1,1,5,لا اكراه في الدين قد,0,0,1,0,0,0,0,0,0
2,257,البقره,24,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,258,البقره,43,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,259,البقره,67,1,,1,3,1,2,1,5,اعلم ان الله علي كل,0,0,1,0,0,0,0,0,0
2,260,البقره,39,1,,6,0,3,6,6,5,تومن قال بلي ولكن ليطمين,3,2,0,0,0,1,0,0,0
2,261,البقره,24,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,262,البقره,24,1,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,263,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,264,البقره,39,1,,0,50,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,265,البقره,27,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,266,البقره,35,1,,1,0,1,1,1,5,ايود احدكم ان تكون له,1,0,0,0,0,0,0,0,0
