surah,verse,word,seg,form,lemma,root,pgn,addressee,rule
2,189,24,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
2,190,1,2,qa`tilu,qa`tala,qtl,2MP,believers-or-group,2MP-default
2,191,1,2,{qotulu,qatala,qtl,2MP,believers-or-group,2MP-default
2,191,4,2,>axoriju,>axoraja,xrj,2MP,believers-or-group,2MP-default
2,191,22,2,{qotulu,qatala,qtl,2MP,believers-or-group,2MP-default
2,193,1,2,qa`tilu,qa`tala,qtl,2MP,believers-or-group,2MP-default
2,194,10,2,{Eotadu,{EotadaY`,Edw,2MP,believers-or-group,2MP-default
2,194,16,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
2,194,18,2,{Eolamu,Ealima,Elm,2MP,believers-or-group,2MP-default
2,195,1,2,>anfiqu,>anfaqa,nfq,2MP,believers-or-group,2MP-default
2,195,10,2,>aHosinu,>aHosana,Hsn,2MP,believers-or-group,2MP-default
2,196,1,2,>atim~u,>atam~a,tmm,2MP,believers-or-group,2MP-default
2,196,67,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
