surah,name,type,n_verses,n_chars,gzip_ratio,zlib_ratio,lz_complexity,lz_normalized,entropy_bpc,gzip_null_mean,gzip_null_std,gzip_z,gzip_emp_p_twotail
97,Al-Qadr,meccan,5,144,0.6023166023166023,0.555984555984556,60,2.9874687506009634,4.087835290508129,0.530703964439789,0.04967895215829694,1.4415086221751814,0.164
98,Al-Bayyinah,medinan,8,505,0.42278203723986857,0.40963855421686746,156,2.7740629190330863,4.211795992549214,0.4764518074696491,0.031133044590144567,-1.72388441080286,0.052
99,Az-Zalzalah,medinan,8,193,0.5213675213675214,0.48717948717948717,70,2.753740894345936,4.2217664805618424,0.4747297410175154,0.03030327810545512,1.5390341661290556,0.148
100,Al-'Adiyat,meccan,11,210,0.5578947368421052,0.5263157894736842,82,3.0122292021362953,4.278908314951915,0.44900285096744524,0.022245575514753622,4.8949907275917015,0.0
101,Al-Qari'ah,meccan,11,195,0.504225352112676,0.4704225352112676,69,2.6918245725575547,4.029759355450029,0.4485336053738906,0.021962814987623897,2.5357289933083673,0.018
102,At-Takathur,meccan,8,150,0.5531135531135531,0.5091575091575091,57,2.7469511023884348,3.9435056490019744,0.4757008468402324,0.029801409939367918,2.597618919065232,0.012
103,Al-'Asr,meccan,3,86,0.6792452830188679,0.6037735849056604,37,2.7647883246974145,3.742740229224087,0.6121206789265522,0.09063562812492584,0.7405984322169181,0.414
104,Al-Humazah,meccan,9,168,0.6105610561056105,0.570957095709571,70,3.08013225949115,4.12733731765139,0.46559346576358024,0.026574970349667073,5.455042411509084,0.0
105,Al-Fil,meccan,5,119,0.6759259259259259,0.6203703703703703,58,3.36049941404925,4.007284601294502,0.5295682113460017,0.04949335503849699,2.9571184751182056,0.02
106,Quraysh,meccan,4,93,0.7529411764705882,0.6823529411764706,47,3.3047361733556713,4.188616339147863,0.5635382872845341,0.06026978694979004,3.1425843490013183,0.012
107,Al-Ma'un,meccan,7,138,0.5992063492063492,0.5515873015873016,56,2.8846186201418655,3.9193508972746227,0.4894691252848277,0.03420183571058636,3.208518538306262,0.006
108,Al-Kawthar,meccan,3,52,0.9789473684210527,0.8526315789473684,31,3.3983390627379584,3.9619084105659375,0.618715075586156,0.09011105152407115,3.9976483099708218,0.0
109,Al-Kafirun,meccan,6,125,0.5133928571428571,0.45982142857142855,39,2.1733246968145714,3.6337412760420293,0.5059595713854174,0.03948466614940012,0.1882575308934875,0.752
110,An-Nasr,medinan,3,100,0.7624309392265194,0.6961325966850829,51,3.3883666567851094,4.110239424422257,0.6175743350736139,0.08774801302079624,1.6508248923947089,0.14
111,Al-Masad,meccan,5,103,0.7336956521739131,0.6684782608695652,46,2.986204118936195,4.026619888466179,0.5278704850490511,0.049511098281442595,4.157152118800966,0.004
