surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
26,84,3016,6,9,23,4,5,6,0,0.0,0,0.0,2.1313219535767858,2.2941358534211647,25,8.52861857718363,34.11447430873452,0.0,4,1.0,0.0,Iن,1293,1,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.5,0.0
26,85,3017,5,8,22,4,5,5,0,0.0,0,0.0,2.133117059060445,2.224662046549364,35,8.522655365844177,34.090621463376706,0.0,4,1.0,0.0,Iم,551,1,0.6,0.2,0.0,0.2,1.6,0.0
26,86,3018,6,10,24,4,6,6,0,0.0,0,0.0,2.4653624716645317,2.3251246123289353,117,7.418959995317216,29.675839981268865,0.0,4,1.0,0.0,Iن,1293,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.0
26,87,3019,4,7,17,3,4,4,0,0.0,0,0.0,1.9495010579621044,1.8260748027008264,26,9.132614518563622,27.397843555690866,0.0,3,1.0,0.0,Uن,1751,1,0.25,0.5,0.0,0.25,1.75,0.3333333333333333
26,88,3020,6,7,19,4,6,6,0,0.0,0,0.0,2.126435325450948,2.099658137126552,50,8.544851604444117,34.17940641777647,0.0,4,1.0,0.0,Uن,1751,1,0.5,0.16666666666666666,0.0,0.3333333333333333,1.1666666666666667,0.0
26,89,3021,6,7,20,4,6,6,0,0.0,0,0.0,2.641501719790913,2.4824408130879774,140,6.833838078353854,27.335352313415417,0.0,4,1.0,0.0,Iم,551,1,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.0
26,90,3022,3,7,18,3,3,3,0,0.0,0,0.0,1.9049385877945728,2.303196057420489,10,9.280647840190726,27.841943520572176,0.0,3,1.0,0.0,Iن,1293,1,0.6666666666666666,0.3333333333333333,0.0,0.0,2.3333333333333335,0.6666666666666666
26,91,3023,3,7,18,3,3,3,0,0.0,0,0.0,1.2372128460774496,1.3424226808222062,9,11.498784741280339,34.49635422384102,0.0,3,1.0,0.0,Iن,1293,1,0.6666666666666666,0.3333333333333333,0.0,0.0,2.3333333333333335,0.3333333333333333
26,92,3024,6,10,22,3,5,6,0,0.0,0,0.0,2.939460213733998,3.143014800254095,275,5.844041386213995,17.532124158641984,0.0,3,1.0,0.0,Uن,1751,1,0.0,0.5,0.3333333333333333,0.16666666666666666,1.6666666666666667,0.0
26,93,3025,7,10,28,4,7,7,0,0.0,0,0.0,2.5026684708283886,2.1986570869544226,144,7.295032148586955,29.18012859434782,0.0,3,0.75,0.16666666666666666,Uن,1751,1,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,1.4285714285714286,0.25
26,94,3026,4,9,20,2,3,4,1,0.5,1,0.3333333333333333,0.6712113404111031,0.6712113404111031,1,13.379001044701925,26.75800208940385,0.5,2,1.0,0.0,Uن,1751,1,0.25,0.25,0.25,0.25,2.25,0.0
26,95,3027,3,4,16,2,3,3,0,0.0,0,0.0,1.7864938540991024,1.7864938540991024,29,9.674112728745161,19.348225457490322,0.0,2,1.0,0.0,Uن,1751,1,1.0,0.0,0.0,0.0,1.3333333333333333,0.0
26,96,3028,4,8,19,2,3,4,0,0.0,0,0.0,2.245652826110471,2.245652826110471,18,8.148819639600994,16.297639279201988,0.0,2,1.0,0.0,Uن,1751,1,0.0,0.5,0.25,0.25,2.0,0.5
26,97,3029,6,9,20,4,6,6,0,0.0,0,0.0,2.8993867684196393,2.9307582445606846,191,5.977162490062695,23.90864996025078,0.0,4,1.0,0.0,Iن,1293,1,0.5,0.16666666666666666,0.0,0.3333333333333333,1.5,0.25
