surah	verse	A	D	DISPUTE	A_resid	D_resid	DISPUTE_resid	len_char	len_word	n_hapax	rarity	ar-tafsir-al-tabari	ar-tafseer-al-qurtubi	ar-tafsir-ibn-kathir	ar-tafsir-al-baghawi	ar-tafseer-tanwir-al-miqbas	ar-tafseer-al-saddi	ar-tafsir-al-wasit	ar-tafsir-muyassar
2	102	0.896258	0.003087	0.798417	-0.759236	-1.642817	0.363467	397	82	0	7.926479	0.997354	0.995750	0.999599	0.995911	0.195959	0.995109	0.992383	0.997996
2	103	0.763821	0.426315	0.685032	1.029982	1.612087	1.265650	62	13	0	6.918682	0.968810	0.422466	0.994468	0.303720	0.834910	0.992864	0.985808	0.607521
2	104	0.887267	0.132016	0.647301	1.377680	0.086961	0.872794	79	14	0	7.502937	0.958708	0.947001	0.905308	0.825609	0.788085	0.783194	0.951972	0.938262
2	105	0.669079	0.256234	0.538463	-0.276492	0.641223	-0.022032	126	27	0	7.714160	0.691309	0.506254	0.457505	0.755051	0.834108	0.522691	0.897771	0.687941
2	106	0.870500	0.188302	0.785531	1.004789	0.595097	1.369361	83	21	0	7.788418	0.977951	0.984365	0.948284	0.959189	0.996232	0.632136	0.844291	0.621552
2	107	0.695628	0.335171	0.669534	0.523761	1.031083	1.074316	77	18	0	6.705044	0.899535	0.533194	0.913807	0.377806	0.808932	0.793778	0.418297	0.819676
2	108	0.771518	0.238234	0.644129	0.473362	0.587275	0.647841	92	19	0	7.961297	0.947482	0.612011	0.930164	0.701251	0.912845	0.844131	0.486209	0.738053
2	109	0.893231	0.058571	0.640303	0.361019	-0.466723	0.231728	159	35	0	7.950103	0.946039	0.907793	0.883499	0.871232	0.901459	0.751924	0.947242	0.936658
2	110	0.563011	0.287564	0.443439	-0.260213	0.650618	-0.370560	96	19	0	7.497474	0.748877	0.692832	0.753528	0.456382	0.227149	0.307970	0.631815	0.685536
2	111	0.711373	0.181206	0.570272	0.133429	-0.047482	0.222941	93	20	0	8.494188	0.837316	0.547386	0.667736	0.707986	0.775657	0.574808	0.958547	0.621552
2	112	0.703416	0.282513	0.515921	0.434707	0.668986	0.163382	74	17	0	7.921946	0.797386	0.372114	0.813743	0.567832	0.485487	0.877806	0.812781	0.900176
2	113	0.775237	0.153885	0.718719	-0.144202	0.138589	0.760928	175	33	0	6.860566	0.888631	0.500641	0.881575	0.815026	0.895366	0.466325	0.849503	0.904827
2	114	0.921173	0.049531	0.814774	0.586340	-0.427865	1.034330	146	32	0	8.565296	0.933852	0.917335	0.959830	0.906591	0.944275	0.965122	0.867623	0.874759
2	115	0.823515	0.255713	0.772977	1.118556	0.772507	1.515104	67	14	0	7.647759	0.969452	0.971216	0.981158	0.887187	0.565507	0.849343	0.618024	0.746232
2	116	0.830420	0.083166	0.698731	1.019920	-0.858724	1.114647	75	17	0	7.475717	0.771889	0.819035	0.911883	0.887027	0.856238	0.900577	0.842688	0.654025
2	117	0.696911	0.314966	0.765624	0.768514	0.797282	1.588443	59	12	0	7.485548	0.961273	0.955821	0.829217	0.757858	0.811498	0.275497	0.599743	0.384381
2	118	0.835512	0.135363	0.512577	0.456780	0.059176	-0.085748	132	27	0	7.125500	0.923348	0.605516	0.836915	0.662203	0.880131	0.875641	0.955981	0.944355
2	119	0.805615	0.209890	0.563216	1.123083	0.263225	0.509690	57	11	0	8.545262	0.915411	0.698124	0.901299	0.802197	0.685375	0.967207	0.658275	0.817030
2	120	0.780468	0.113354	0.578324	-0.090585	-0.365366	0.065648	148	34	0	7.548015	0.704939	0.823364	0.762749	0.794339	0.915170	0.723220	0.662043	0.857922
2	121	0.792545	0.182328	0.645526	0.719702	0.135145	0.751285	86	16	0	7.811742	0.940587	0.679602	0.903063	0.786722	0.746953	0.859686	0.457906	0.965843
2	122	0.266918	0.348060	0.336319	-0.999402	1.315495	-1.407591	69	12	0	7.873636	0.488855	0.011145	0.282713	0.142399	0.114256	0.000962	0.675914	0.419099
2	123	0.373436	0.233343	0.399100	-0.952359	0.307408	-0.799429	84	18	0	8.343041	0.398012	0.011145	0.282713	0.183130	0.484525	0.648412	0.511065	0.468489
2	124	0.945197	0.050794	0.891380	1.268634	-0.203296	1.744183	109	23	0	8.178687	0.988214	0.993826	0.990779	0.948284	0.992062	0.955019	0.916373	0.777021
2	125	0.971236	0.020165	0.804304	1.287579	-0.209498	1.045147	138	23	0	9.166589	0.989015	0.978111	0.996071	0.986129	0.973781	0.969772	0.919580	0.957425
2	126	0.893281	0.097579	0.709899	0.458307	0.096889	0.641007	155	32	0	7.746196	0.976026	0.917014	0.983403	0.818794	0.949888	0.690747	0.938182	0.872194
2	127	0.770496	0.389893	0.675857	0.651583	1.562428	0.890682	80	15	0	8.264747	0.984044	0.975706	0.998797	0.945237	0.806366	0.304121	0.548749	0.600946
2	128	0.823785	0.174972	0.613992	0.641199	0.246482	0.427359	94	18	0	8.587943	0.938983	0.952133	0.908515	0.744869	0.878608	0.730035	0.795061	0.642078
2	129	0.809062	0.135203	0.734228	0.676497	-0.217796	1.113024	98	17	0	7.806743	0.881976	0.744869	0.870189	0.918137	0.717126	0.788887	0.867944	0.683371
2	130	0.722508	0.289849	0.416659	0.030842	0.897189	-0.848520	95	20	0	9.927603	0.824006	0.854073	0.783114	0.875962	0.877405	0.571761	0.430244	0.563502
2	131	0.400216	0.336093	0.457654	0.116666	0.722081	0.368143	43	10	0	6.270192	0.593890	0.658355	0.087075	0.522611	0.311257	0.184493	0.266196	0.577854
2	132	0.745390	0.166974	0.602893	0.403682	-0.150804	0.441199	86	17	0	8.513010	0.821280	0.878207	0.853271	0.875321	0.877085	0.607761	0.307729	0.742463
2	133	0.755993	0.093048	0.644621	0.057229	-0.716729	0.537882	140	27	0	7.021327	0.827534	0.781751	0.759702	0.811177	0.959750	0.744949	0.509060	0.654025
2	134	0.589410	0.177498	0.385137	-0.026491	-0.365977	-0.925570	72	17	0	8.497531	0.643281	0.556607	0.465603	0.276299	0.648894	0.487332	0.946360	0.690908
2	135	0.738174	0.249339	0.655022	0.507386	0.510241	0.805540	81	17	0	7.855861	0.934012	0.620430	0.672947	0.879891	0.645366	0.438342	0.914208	0.800192
2	136	0.891006	0.057288	0.793973	0.451165	-0.521270	1.070140	165	31	0	7.400328	0.873557	0.825609	0.862492	0.833708	0.870750	0.997354	0.892880	0.971697
2	137	0.773432	0.112773	0.711537	0.406259	-0.583878	0.982129	103	22	0	7.436661	0.802518	0.829137	0.597739	0.789047	0.638390	0.906751	0.868425	0.755452
2	138	0.786893	0.122555	0.700151	1.066314	-0.727354	1.176200	50	12	0	8.637445	0.807809	0.790892	0.670141	0.752165	0.921504	0.970173	0.831783	0.550674
2	139	0.737662	0.109706	0.378138	0.760457	-0.891526	-0.805605	76	14	0	6.973380	0.659157	0.733563	0.639913	0.704458	0.656671	0.910680	0.858804	0.738053
2	140	0.801876	0.225204	0.541189	-0.036709	0.877543	-0.138273	162	33	0	7.395334	0.899294	0.650657	0.619468	0.704458	0.702774	0.961915	0.896809	0.979634
2	141	0.463689	0.517800	0.399100	-0.474907	1.890093	-0.738062	72	17	0	8.497531	0.651539	0.185375	0.516758	0.173188	0.146648	0.203175	0.986931	0.845895
2	142	0.895556	0.084710	0.727573	0.887647	-0.216434	0.968206	115	24	0	7.654090	0.974904	0.967207	0.948765	0.608724	0.994628	0.988614	0.735167	0.946440
2	143	0.974663	0.038606	0.963335	0.747914	0.577631	1.940955	248	49	0	7.294318	0.991260	0.961273	0.932409	0.980196	0.996713	0.997835	0.942832	0.994788
2	144	0.941359	0.046865	0.664609	0.521030	-0.059927	0.218999	189	39	0	8.231245	0.974743	0.910920	0.927437	0.968650	0.992543	0.953416	0.835231	0.967928
2	145	0.837326	0.172025	0.574750	0.020385	0.588336	-0.052727	169	36	0	7.616774	0.800112	0.743666	0.664208	0.829618	0.939304	0.980516	0.781831	0.959349
